"tran.v(volt)";"r ngspice/tran.i(vamp)@tran.v(volt)";"i ngspice/tran.i(vamp)@tran.v(volt)"
3.31515e-25;-1.00459e-27;0
0.000503329;1.0125e-09;0
0.00100699;1.02128e-09;0
0.00201431;1.03758e-09;0
0.00402895;1.06986e-09;0
0.00805822;1.13685e-09;0
0.0161167;1.27764e-09;0
0.0322335;1.59779e-09;0
0.0644652;2.47714e-09;0
0.114818;5.30736e-09;0
0.16515;1.33147e-08;0
0.215451;3.81294e-08;0
0.265699;1.17425e-07;0
0.315848;3.72717e-07;0
0.36576;1.19153e-06;0
0.415034;3.76962e-06;0
0.462555;1.14565e-05;0
0.505885;3.16243e-05;0
0.541947;7.35648e-05;0
0.569632;0.000140619;0
0.59037;0.000228427;0
0.606203;0.000330782;0
0.618793;0.000442619;0
0.628923;0.000561542;0
0.637399;0.000685089;0
0.644659;0.000811903;0
0.650982;0.000941119;0
0.656566;0.00107211;0
0.661555;0.00120442;0
0.666057;0.0013377;0
0.670154;0.00147168;0
0.673908;0.00160613;0
0.677369;0.0017409;0
0.680577;0.00187583;0
0.683564;0.00201081;0
0.686357;0.00214573;0
0.688977;0.0022805;0
0.691444;0.00241504;0
0.693773;0.00254929;0
0.695978;0.00268317;0
0.698069;0.00281664;0
0.700057;0.00294964;0
0.701952;0.00308212;0
0.703759;0.00321404;0
0.705486;0.00334536;0
0.70714;0.00347602;0
0.708724;0.00360601;0
0.710245;0.00373527;0
0.711706;0.00386379;0
0.713111;0.00399152;0
0.714464;0.00411843;0
0.715767;0.0042445;0
0.717024;0.00436968;0
0.718237;0.00449397;0
0.719409;0.00461732;0
0.720541;0.00473972;0
0.721636;0.00486113;0
0.722696;0.00498153;0
0.723722;0.00510089;0
0.724715;0.0052192;0
0.725678;0.00533642;0
0.726611;0.00545254;0
0.727516;0.00556754;0
0.728394;0.00568138;0
0.729245;0.00579405;0
0.730072;0.00590552;0
0.730875;0.00601578;0
0.731655;0.00612481;0
0.732413;0.00623258;0
0.733148;0.00633908;0
0.733864;0.00644428;0
0.734559;0.00654817;0
0.735234;0.00665073;0
0.735891;0.00675193;0
0.736529;0.00685177;0
0.737149;0.00695022;0
0.737753;0.00704727;0
0.738339;0.0071429;0
0.738909;0.00723709;0
0.739463;0.00732983;0
0.740002;0.00742109;0
0.740526;0.00751087;0
0.741035;0.00759915;0
0.741529;0.0076859;0
0.74201;0.00777113;0
0.742476;0.00785481;0
0.74293;0.00793693;0
0.74337;0.00801747;0
0.743797;0.00809643;0
0.744212;0.00817378;0
0.744614;0.00824952;0
0.745004;0.00832362;0
0.745382;0.00839609;0
0.745749;0.0084669;0
0.746104;0.00853605;0
0.746447;0.00860351;0
0.74678;0.00866929;0
0.747101;0.00873337;0
0.747412;0.00879574;0
0.747712;0.00885639;0
0.748002;0.0089153;0
0.748281;0.00897248;0
0.74855;0.0090279;0
0.748809;0.00908156;0
0.749058;0.00913346;0
0.749297;0.00918357;0
0.749526;0.0092319;0
0.749746;0.00927843;0
0.749956;0.00932316;0
0.750157;0.00936609;0
0.750348;0.00940719;0
0.750531;0.00944647;0
0.750704;0.00948392;0
0.750868;0.00951953;0
0.751022;0.00955331;0
0.751168;0.00958523;0
0.751305;0.0096153;0
0.751433;0.00964351;0
0.751553;0.00966985;0
0.751663;0.00969433;0
0.751765;0.00971694;0
