n,perseritja,koha_ms
500,1,0.8229000402845845
500,2,0.3934589721005861
500,3,1.698127662502609
500,4,1.9776870797338766
500,5,0.38846014385285965
500,6,0.30878803349625106
500,7,1.035953385370448
500,8,0.5311504786362972
500,9,0.9522705285044085
500,10,0.7941872737688666
500,11,1.3682493656507129
500,12,1.4205509165657564
500,13,0.7507621010517578
500,14,0.424875931561148
500,15,1.9790719483361636
500,16,0.4037689325894278
500,17,1.5963683444192112
500,18,1.5104175288036061
500,19,1.261623172612826
500,20,1.2508449915426607
500,21,1.254770553179196
500,22,1.1299573697505634
500,23,1.5809246948302826
500,24,0.8201571410736092
500,25,0.5647918355647766
500,26,2.271847163146967
500,27,1.850516797832635
500,28,0.8079860901708303
500,29,1.5448719792468728
500,30,5.45744145924884
1000,1,3.0781689333246236
1000,2,1.371239169648563
1000,3,1.6562263995176116
1000,4,2.5057288171753527
1000,5,2.049986111249673
1000,6,2.89226054349277
1000,7,2.7572084183648298
1000,8,2.1013451510668433
1000,9,1.435116511847669
1000,10,2.016266356156722
1000,11,2.776385555443628
1000,12,2.92409631549713
1000,13,2.053149578683578
1000,14,1.0419206811524768
1000,15,1.3336285384353788
1000,16,2.71160760969765
1000,17,2.089258185087389
1000,18,2.10677705146976
1000,19,1.644894084310999
1000,20,1.6317705843904355
1000,21,3.064034738284817
1000,22,2.7393271431555863
1000,23,1.9164682637614652
1000,24,2.4494918344899963
1000,25,2.5779291974026637
1000,26,3.673211341375633
1000,27,1.5729902342214088
1000,28,2.567785575496313
1000,29,3.0598772250505637
1000,30,3.5624305412945505
2000,1,4.751775230438003
2000,2,4.951728614113187
2000,3,11.605934067055106
2000,4,4.4511131916717686
2000,5,5.934077710953307
2000,6,7.594666429443666
2000,7,4.47194596061231
2000,8,5.477745626512871
2000,9,4.931290648494054
2000,10,5.1509437475046935
2000,11,5.389215310594078
2000,12,4.435053454377153
2000,13,4.874530129379137
2000,14,5.488125870198942
2000,15,5.367796073816111
2000,16,4.86413997780648
2000,17,4.491483046851904
2000,18,6.966352242585933
2000,19,5.934367819626878
2000,20,6.008834866937197
2000,21,5.138266138511329
2000,22,4.739746300294289
2000,23,4.8995896723651775
2000,24,4.241226397182106
2000,25,6.52684946176615
2000,26,5.168665795749896
2000,27,6.308377850003262
2000,28,4.934834671970812
2000,29,5.606581607407093
2000,30,5.410164006415327
4000,1,10.392625553879073
4000,2,12.866085489902243
4000,3,11.180603056366815
4000,4,10.601516367640814
4000,5,12.00181434902684
4000,6,11.483055419899548
4000,7,11.757212552314751
4000,8,11.559620838797
4000,9,9.847015232450786
4000,10,10.812568697041307
4000,11,10.784631019732604
4000,12,12.219874947160415
4000,13,11.511658107351138
4000,14,11.877964263235016
4000,15,11.225014437786037
4000,16,11.917645262878745
4000,17,11.363548369875684
4000,18,11.308065859771204
4000,19,11.628411600038573
4000,20,11.559544738577904
4000,21,13.50113214330274
4000,22,10.804558232828548
4000,23,10.316399311806002
4000,24,11.739636916147877
4000,25,10.903885843080717
4000,26,9.76932168948468
4000,27,10.637221383787955
4000,28,13.255986481749343
4000,29,10.785664290741535
4000,30,10.080970200190299
8000,1,26.597703516173844
8000,2,24.016877363787497
8000,3,27.218359561943533
8000,4,24.599706661120784
8000,5,26.27726394207568
8000,6,24.69808354979752
8000,7,25.242118686124503
8000,8,24.787247454938374
8000,9,27.402332715114884
8000,10,24.450044051495993
8000,11,25.70447848080707
8000,12,25.17571095327057
8000,13,24.894373341024338
8000,14,25.147501235889855
8000,15,27.145572917163033
8000,16,26.1529897485314
8000,17,24.283860058795394
8000,18,25.103232000077732
8000,19,31.54658766509455
8000,20,23.498637036971854
8000,21,25.257842097122698
8000,22,24.517085980591247
8000,23,24.9362792652362
8000,24,24.81151521209844
8000,25,25.01635583623318
8000,26,22.840979073806167
8000,27,25.035515763649165
8000,28,24.596774161494174
8000,29,25.156702213522493
8000,30,23.667216702618298
16000,1,53.3657914746041
16000,2,52.78629284453926
16000,3,54.66864732886158
16000,4,55.01446093743037
16000,5,53.97988099624608
16000,6,53.97980618009306
16000,7,53.39135489027465
16000,8,53.070672594462195
16000,9,52.68596875461053
16000,10,53.47609080709829
16000,11,54.229306844087425
16000,12,54.213231406013335
16000,13,53.57504911478386
16000,14,53.2139877792094
16000,15,54.138638701820575
16000,16,52.817637759950095
16000,17,52.655363533597516
16000,18,53.87821923034341
16000,19,54.11562083088197
16000,20,53.87210503632662
16000,21,53.95972388140057
16000,22,51.97802103165862
16000,23,54.101336711337105
16000,24,54.80937089154523
16000,25,54.305878841777144
16000,26,54.27962260507539
16000,27,53.81491406921215
16000,28,53.8448862445278
16000,29,53.510588708910134
16000,30,53.93532674458521
